,prices,address,no_beds,baths,sqft,prediction,difference,deal
439,209900.0," 2723 W 38th Pl, Chicago, IL 60632 ",3.0,2.0,0.874,698071.25,-488171.25,good deal
540,319999.0," 1845 N California Ave #2, Chicago, IL 60647 ",3.0,2.0,1.278,807636.6,-487637.625,good deal
65,979900.0," 3958 S Drexel Ave, Chicago, IL 60653 ",3.0,3.0,2.1,1464378.6,-484478.625,good deal
522,254900.0," 4150 W 81st St, Chicago, IL 60652 ",3.0,2.0,1.024,738751.4,-483851.375,good deal
445,289000.0," 3350 N Oketo Ave, Chicago, IL 60634 ",3.0,2.0,1.14,770210.6,-481210.625,good deal
246,349000.0," 2558 W Haddon Ave #1, Chicago, IL 60622 ",3.0,2.0,1.335,823094.9,-474094.875,good deal
226,295000.0," 50 E 26th St APT 406, Chicago, IL 60616 ",3.0,2.0,1.135,768854.6,-473854.625,good deal
24,264900.0," 5130 S Sayre Ave, Chicago, IL 60638 ",3.0,2.0,1.023,738480.1,-473580.125,good deal
136,324500.0," 1000 N Lake Shore Dr APT 509, Chicago, IL 60611 ",3.0,2.0,1.241,797602.1,-473102.125,good deal
218,232500.0," 900 W Margate Ter #2C, Chicago, IL 60640 ",4.0,1.0,1.296,704091.1,-471591.125,good deal
306,299000.0," 1148 W Columbia Ave APT 1W, Chicago, IL 60626 ",3.0,2.0,1.135,768854.6,-469854.625,good deal
147,299500.0," 5490 S South Shore Dr #10N, Chicago, IL 60615 ",3.0,2.0,1.135,768854.6,-469354.625,good deal
99,239000.0," 13455 S Green Bay Ave, Chicago, IL 60633 ",4.0,1.0,1.296,704091.1,-465091.125,good deal
393,78800.0," 5202 W Schubert Ave #3, Chicago, IL 60639 ",2.0,2.0,1.45,528895.6,-450095.625,good deal
346,329000.0," 6357 S Oak Park Ave, Chicago, IL 60638 ",3.0,2.0,1.135,768854.6,-439854.625,good deal
9,199800.0," 1801 W Touhy Ave UNIT H, Chicago, IL 60626 ",2.0,2.0,1.8,623816.0,-424016.0,good deal
546,259000.0," 4117 S Albany Ave, Chicago, IL 60632 ",1.0,4.0,0.007,679794.0,-420794.0,good deal
327,665000.0," 4448 N Mozart St, Chicago, IL 60625 ",3.0,2.0,2.277,1078566.4,-413566.375,good deal
128,675000.0," 2827 N Lakewood Ave #1, Chicago, IL 60657 ",3.0,2.0,2.277,1078566.4,-403566.375,good deal
285,685000.0," 2227 W Mclean Ave, Chicago, IL 60647 ",3.0,2.0,2.3,1084804.1,-399804.125,good deal
286,429000.0," 5237 W George St, Chicago, IL 60641 ",3.0,2.0,1.335,823094.9,-394094.875,good deal
203,350000.0," 222 N Columbus Dr APT 1603, Chicago, IL 60601 ",3.0,2.0,1.04,743090.6,-393090.625,good deal
416,479000.0," 5934 W Fitch Ave, Chicago, IL 60646 ",3.0,2.0,1.494,866215.9,-387215.875,good deal
294,140000.0," 10730 S Rhodes Ave, Chicago, IL 60628 ",2.0,2.0,1.438,525641.1,-385641.125,good deal
533,519900.0," 260 E Chestnut St APT 2401, Chicago, IL 60611 ",3.0,2.0,1.635,904455.4,-384555.375,good deal
101,30000.0," 4280 W Ford City Dr #203, Chicago, IL 60652 ",2.0,2.0,1.0,406855.12,-376855.125,good deal
353,155000.0," 2458 W Estes Ave #3, Chicago, IL 60645 ",2.0,2.0,1.45,528895.6,-373895.625,good deal
273,159900.0," 3544 W Cortland St APT BA, Chicago, IL 60647 ",2.0,2.0,1.45,528895.6,-368995.625,good deal
335,435000.0," 2729 N Sheffield Ave APT 3S, Chicago, IL 60614 ",3.0,2.0,1.241,797602.1,-362602.125,good deal
418,157000.0," 5000 S Cornell Ave APT 15D, Chicago, IL 60615 ",2.0,2.0,1.4,515335.5,-358335.5,good deal
247,735000.0," 2245 N Rockwell St #4, Chicago, IL 60647 ",3.0,2.0,2.277,1078566.4,-343566.375,good deal
378,370000.0," 330 W Diversey Pkwy APT 502, Chicago, IL 60657 ",4.0,1.0,1.296,704091.1,-334091.125,good deal
527,1975000.0," 49 E Bellevue Pl, Chicago, IL 60611 ",3.0,4.0,3.6,2304995.0,-329995.0,good deal
547,189000.0," 617 W Addison St #3, Chicago, IL 60657 ",2.0,2.0,1.4,515335.5,-326335.5,good deal
49,299000.0," 5042 W Waveland Ave, Chicago, IL 60641 ",2.0,2.0,1.8,623816.0,-324816.0,good deal
295,475000.0," 1801 W Diversey Pkwy UNIT 4, Chicago, IL 60614 ",3.0,2.0,1.241,797602.1,-322602.125,good deal
402,660000.0," 645 W Wrightwood Ave #1A, Chicago, IL 60614 ",3.0,2.0,1.9,976323.6,-316323.625,good deal
328,149000.0," 3950 N Lake Shore Dr APT 1027, Chicago, IL 60613 ",2.0,2.0,1.196,460010.5,-311010.5,good deal
1,30500.0," 13150 S Eberhart Ave, Riverdale, IL 60827 ",2.0,2.0,0.753,339868.38,-309368.375,good deal
395,99900.0," 10344 S Springfield Ave, Chicago, IL 60655 ",2.0,2.0,1.0,406855.12,-306955.125,good deal
260,100000.0," 8835 S Indiana Ave, Chicago, IL 60619 ",2.0,2.0,1.0,406855.12,-306855.125,good deal
508,589900.0," 450 N Sangamon St #3, Chicago, IL 60642 ",3.0,2.0,1.6,894963.4,-305063.375,good deal
31,130000.0," 6730 S South Shore Dr APT 1203, Chicago, IL 60649 ",2.0,2.0,1.1,433975.12,-303975.125,good deal
196,105000.0," 9205 S State St, Chicago, IL 60619 ",2.0,2.0,1.0,406855.12,-301855.125,good deal
355,110000.0," 6345 S Greenwood Ave APT 3, Chicago, IL 60637 ",2.0,2.0,1.0,406855.12,-296855.125,good deal
289,169900.0," 5553 S Mozart St, Chicago, IL 60629 ",2.0,2.0,1.2,461095.38,-291195.375,good deal
340,121999.0," 11640 S Racine Ave, Chicago, IL 60643 ",2.0,2.0,1.0,406855.12,-284856.125,good deal
21,200000.0," 5013 S King Dr UNIT 4, Chicago, IL 60615 ",2.0,2.0,1.25,474655.38,-274655.375,good deal
423,1395000.0," 333 N Canal St APT 2501, Chicago, IL 60606 ",3.0,3.0,2.855,1669135.6,-274135.625,good deal
420,29000.0," 231 W 107th St, Chicago, IL 60628 ",3.0,1.0,1.0,298427.88,-269427.875,good deal
170,199900.0," 9705 S Carpenter St, Chicago, IL 60643 ",2.0,2.0,1.2,461095.38,-261195.375,good deal
313,269000.0," 1226 W Sunnyside Ave #1E, Chicago, IL 60640 ",2.0,2.0,1.45,528895.6,-259895.625,good deal
8,215000.0," 5415 N Sheridan Rd APT 2111, Chicago, IL 60640 ",2.0,2.0,1.25,474655.38,-259655.375,good deal
318,284900.0," 1221 N Dearborn St PENTHOUSE P9N, Chicago, IL 60610 ",2.0,2.0,1.5,542455.6,-257555.625,good deal
116,150000.0," 4109 S Prairie Ave #GN, Chicago, IL 60653 ",2.0,2.0,1.0,406855.12,-256855.125,good deal
98,55000.0," 8847 S Prairie Ave, Chicago, IL 60619 ",3.0,1.0,1.04,309276.0,-254276.0,good deal
235,155000.0," 7928 S Blackstone Ave, Chicago, IL 60619 ",2.0,2.0,1.0,406855.12,-251855.125,good deal
22,250000.0," 1107 W Lawrence Ave APT 201, Chicago, IL 60640 ",2.0,2.0,1.35,501775.5,-251775.5,good deal
338,465000.0," 5836 S Natoma Ave, Chicago, IL 60638 ",4.0,1.0,1.296,704091.1,-239091.125,good deal
207,595000.0," 1755 N Hermitage Ave APT F, Chicago, IL 60622 ",3.0,2.0,1.335,823094.9,-228094.875,good deal
300,180000.0," 1136 W Pratt Blvd APT GS, Chicago, IL 60626 ",2.0,2.0,1.0,406855.12,-226855.125,good deal
175,300000.0," 6111 W Lawrence Ave, Chicago, IL 60630 ",2.0,2.0,1.438,525641.1,-225641.125,good deal
329,240000.0," 1415 N Dearborn St APT 8A, Chicago, IL 60610 ",2.0,2.0,1.2,461095.38,-221095.375,good deal
181,189900.0," 4203 S Prairie Ave #1, Chicago, IL 60653 ",2.0,2.0,1.0,406855.12,-216955.125,good deal
41,129900.0," 6547 S Artesian Ave, Chicago, IL 60629 ",2.0,2.0,0.753,339868.38,-209968.375,good deal
114,319000.0," 4250 N Marine Dr APT 2416, Chicago, IL 60613 ",2.0,2.0,1.45,528895.6,-209895.625,good deal
470,279900.0," 1211 N Honore St #B, Chicago, IL 60622 ",2.0,2.0,1.3,488215.38,-208315.375,good deal
532,220000.0," 3930 N Pine Grove Ave APT 2415, Chicago, IL 60613 ",2.0,2.0,1.075,427195.12,-207195.125,good deal
62,299000.0," 1800 W Roscoe St APT 309, Chicago, IL 60657 ",2.0,2.0,1.35,501775.5,-202775.5,good deal
497,299000.0," 2400 N Lakeview Ave APT 1705, Chicago, IL 60614 ",2.0,2.0,1.35,501775.5,-202775.5,good deal
50,314500.0," 1000 W Leland Ave APT 5G, Chicago, IL 60640 ",2.0,2.0,1.36,504487.5,-189987.5,good deal
399,259000.0," 208 W Washington St APT 1113, Chicago, IL 60606 ",2.0,2.0,1.15,447535.25,-188535.25,good deal
278,359900.0," 6413 S Kenneth Ave, Chicago, IL 60629 ",2.0,2.0,1.5,542455.6,-182555.625,good deal
10,325000.0," 161 W Harrison St UNIT 607, Chicago, IL 60605 ",2.0,2.0,1.36,504487.5,-179487.5,good deal
61,299900.0," 3755 N Pine Grove Ave #3, Chicago, IL 60613 ",2.0,2.0,1.25,474655.38,-174755.375,good deal
23,169000.0," 2529 S Troy St, Chicago, IL 60623 ",2.0,2.0,0.724,332003.5,-163003.5,good deal
130,300000.0," 222 E Pearson St APT 2109, Chicago, IL 60611 ",2.0,2.0,1.2,461095.38,-161095.375,good deal
220,249000.0," 3963 W Belmont Ave UNIT 518, Chicago, IL 60618 ",2.0,2.0,1.0,406855.12,-157855.125,good deal
63,175000.0," 5927 S Prairie Ave, Chicago, IL 60637 ",2.0,2.0,0.724,332003.5,-157003.5,good deal
119,389000.0," 2440 N Lakeview Ave #7D, Chicago, IL 60614 ",2.0,2.0,1.5,542455.6,-153455.625,good deal
513,324000.0," 3200 N Lake Shore Dr APT 902, Chicago, IL 60657 ",2.0,2.0,1.25,474655.38,-150655.375,good deal
219,149900.0," 4821 N Sawyer Ave #G, Chicago, IL 60625 ",3.0,1.0,1.0,298427.88,-148527.875,good deal
156,260000.0," 8 W Monroe St APT 1609, Chicago, IL 60603 ",2.0,2.0,1.0,406855.12,-146855.125,good deal
454,324000.0," 222 N Columbus Dr APT 904, Chicago, IL 60601 ",2.0,2.0,1.225,467875.38,-143875.375,good deal
26,360000.0," 4616 N Kenmore Ave APT 305, Chicago, IL 60640 ",2.0,2.0,1.342,499605.88,-139605.875,good deal
517,269900.0," 8 W Monroe St APT 1703, Chicago, IL 60603 ",2.0,2.0,1.004,407939.88,-138039.875,good deal
505,300000.0," 1101 N Crosby St #A, Chicago, IL 60610 ",2.0,2.0,1.111,436958.38,-136958.375,good deal
503,350000.0," 520 S State St APT 1102, Chicago, IL 60605 ",2.0,2.0,1.29,485503.38,-135503.375,good deal
217,175000.0," 2938 W Fillmore St #200, Chicago, IL 60612 ",3.0,1.0,1.04,309276.0,-134276.0,good deal
476,414555.0," 1508 W Highland Ave, Chicago, IL 60660 ",3.0,1.0,1.9,542509.0,-127954.0,good deal
95,399000.0," 1111 S Wabash Ave APT 2309, Chicago, IL 60605 ",2.0,2.0,1.438,525641.1,-126641.125,good deal
467,335000.0," 900 N Lake Shore Dr APT 1602, Chicago, IL 60611 ",2.0,2.0,1.2,461095.38,-126095.375,good deal
178,187000.0," 400 W Ontario St APT 508B, Chicago, IL 60654 ",3.0,1.0,1.04,309276.0,-122276.0,good deal
249,340000.0," 9707 S Winchester Ave, Chicago, IL 60643 ",2.0,2.0,1.2,461095.38,-121095.375,good deal
209,339000.0," 3217 W Leland Ave APT 1W, Chicago, IL 60625 ",2.0,2.0,1.196,460010.5,-121010.5,good deal
516,259900.0," 1 E 8th St APT 807, Chicago, IL 60605 ",2.0,2.0,0.9,379734.88,-119834.875,good deal
100,179000.0," 8362 S Keating Ave, Chicago, IL 60652 ",3.0,1.0,1.0,298427.88,-119427.875,good deal
386,649900.0," 1513 N Clybourn Ave #E, Chicago, IL 60610 ",3.0,2.0,1.135,768854.6,-118954.625,good deal
550,205050.0," 5334 S Kolin Ave, Chicago, IL 60632 ",3.0,1.0,1.08,320124.0,-115074.0,good deal
536,339000.0," 1620 S Michigan Ave UNIT 814, Chicago, IL 60616 ",2.0,2.0,1.148,446992.88,-107992.875,good deal
380,299500.0," 1209 N State Pkwy APT 6, Chicago, IL 60610 ",2.0,2.0,1.0,406855.12,-107355.125,good deal
460,349900.0," 1211 N Lasalle St APT 1502, Chicago, IL 60610 ",2.0,2.0,1.18,455671.25,-105771.25,good deal
257,210000.0," 1443 N Washtenaw Ave APT 2F, Chicago, IL 60622 ",3.0,1.0,1.04,309276.0,-99276.0,good deal
90,375000.0," 2840 N Damen Ave #2, Chicago, IL 60618 ",2.0,2.0,1.2,461095.38,-86095.375,good deal
169,375000.0," 1735 N Paulina St APT 515, Chicago, IL 60622 ",2.0,2.0,1.196,460010.5,-85010.5,good deal
539,389900.0," 1427 N Bosworth Ave APT 2, Chicago, IL 60642 ",2.0,2.0,1.25,474655.38,-84755.375,good deal
194,449500.0," 3037 N Racine Ave #2, Chicago, IL 60657 ",2.0,2.0,1.45,528895.6,-79395.625,good deal
135,450000.0," 708 W Barry Ave APT 1F, Chicago, IL 60657 ",2.0,2.0,1.438,525641.1,-75641.125,good deal
66,425000.0," 8215 W Summerdale Ave, Chicago, IL 60656 ",2.0,2.0,1.342,499605.88,-74605.875,good deal
410,388000.0," 2021 W Armitage Ave #2, Chicago, IL 60647 ",2.0,2.0,1.2,461095.38,-73095.375,good deal
6,379900.0," 5052 N Rutherford Ave, Chicago, IL 60656 ",2.0,2.0,1.163,451060.88,-71160.875,good deal
141,339000.0," 3300 W 114th St, Chicago, IL 60655 ",2.0,2.0,1.0,406855.12,-67855.125,good deal
398,475000.0," 1201 W Adams St APT 805, Chicago, IL 60607 ",2.0,2.0,1.5,542455.6,-67455.625,good deal
29,395000.0," 200 N Dearborn St UNIT 4106, Chicago, IL 60601 ",2.0,2.0,1.205,462451.38,-67451.375,good deal
512,399900.0," 1040 W Adams St UNIT 221, Chicago, IL 60607 ",2.0,2.0,1.2,461095.38,-61195.375,good deal
248,400000.0," 1110 N Lake Shore Dr APT 31S, Chicago, IL 60611 ",2.0,2.0,1.196,460010.5,-60010.5,good deal
339,240000.0," 3900 N Lake Shore Dr APT 3A, Chicago, IL 60613 ",3.0,1.0,1.0,298427.88,-58427.875,good deal
435,500000.0," 400 W Ontario St APT 701, Chicago, IL 60654 ",2.0,2.0,1.55,556015.6,-56015.625,good deal
39,350000.0," 155 N Harbor Dr APT 4107, Chicago, IL 60601 ",2.0,2.0,0.99,404143.12,-54143.125,good deal
557,439900.0," 1448 N Western Ave APT 3A, Chicago, IL 60622 ",2.0,2.0,1.3,488215.38,-48315.375,good deal
129,415000.0," 4172 W Eddy St, Chicago, IL 60641 ",2.0,2.0,1.196,460010.5,-45010.5,good deal
524,419000.0," 2131 N Clark St APT 3, Chicago, IL 60614 ",2.0,2.0,1.2,461095.38,-42095.375,good deal
89,420000.0," 511 W Division St APT 406, Chicago, IL 60610 ",2.0,2.0,1.196,460010.5,-40010.5,good deal
138,284900.0," 2728 W Cortez St #1, Chicago, IL 60622 ",3.0,1.0,1.04,309276.0,-24376.0,good deal
315,389000.0," 2421 N Sawyer Ave #3, Chicago, IL 60647 ",2.0,2.0,1.0,406855.12,-17855.125,good deal
259,285000.0," 4424 S Indiana Ave APT 3N, Chicago, IL 60653 ",3.0,1.0,1.0,298427.88,-13427.875,good deal
337,300000.0," 5000 S East End Ave APT 10A, Chicago, IL 60615 ",3.0,1.0,1.04,309276.0,-9276.0,good deal
434,550000.0," 900 N Kingsbury St APT 701, Chicago, IL 60610 ",2.0,2.0,1.55,556015.6,-6015.625,good deal
458,515000.0," 1519 W Fry St #3, Chicago, IL 60642 ",2.0,2.0,1.405,516691.5,-1691.5,good deal
419,550000.0," 82 E Elm St APT 2, Chicago, IL 60611 ",2.0,2.0,1.5,542455.6,7544.375,bad deal
11,20000.0," 4850 S Lake Park Ave #507-B, Chicago, IL 60615 ",2.0,1.0,1.1,160.375,19839.625,bad deal
71,459000.0," 832 W Barry Ave #2, Chicago, IL 60657 ",2.0,2.0,1.1,433975.12,25024.875,bad deal
556,649900.0," 1940 N Cleveland Ave APT 5, Chicago, IL 60614 ",2.0,2.0,1.8,623816.0,26084.0,bad deal
379,325000.0," 33 E Cedar St UNIT 19AB, Chicago, IL 60611 ",3.0,1.0,1.0,298427.88,26572.125,bad deal
69,489900.0," 6737 N Hermitage Ave, Chicago, IL 60626 ",2.0,2.0,1.205,462451.38,27448.625,bad deal
377,345000.0," 5000 S East End Ave APT 17C, Chicago, IL 60615 ",3.0,1.0,1.04,309276.0,35724.0,bad deal
210,510000.0," 1428 W Cortez St #1E, Chicago, IL 60642 ",2.0,2.0,1.2,461095.38,48904.625,bad deal
32,27000.0," 4800 S Lake Park Ave APT 806, Chicago, IL 60615 ",2.0,1.0,1.0,-26959.625,53959.625,bad deal
48,529000.0," 1511 N Paulina St #1R, Chicago, IL 60622 ",2.0,2.0,1.25,474655.38,54344.625,bad deal
254,595000.0," 680 N Peoria St #D, Chicago, IL 60642 ",2.0,2.0,1.438,525641.1,69358.875,bad deal
199,614900.0," 2133 N Campbell Ave #1B, Chicago, IL 60647 ",2.0,2.0,1.5,542455.6,72444.375,bad deal
334,599000.0," 3646 S Emerald Ave, Chicago, IL 60609 ",2.0,2.0,1.438,525641.1,73358.875,bad deal
368,559900.0," 17 N Loomis St APT 3C, Chicago, IL 60607 ",2.0,2.0,1.196,460010.5,99889.5,bad deal
500,80000.0," 947 E Hyde Park Blvd #G, Chicago, IL 60615 ",2.0,1.0,1.0,-26959.625,106959.625,bad deal
275,519000.0," 4604 N Oakview St, Chicago, IL 60656 ",2.0,2.0,1.0,406855.12,112144.875,bad deal
238,659900.0," 4556 N Damen Ave, Chicago, IL 60625 ",2.0,2.0,1.5,542455.6,117444.375,bad deal
374,650000.0," 2233 W Lyndale St #B, Chicago, IL 60647 ",2.0,2.0,1.438,525641.1,124358.875,bad deal
450,104000.0," 5319 N Nagle Ave, Chicago, IL 60630 ",2.0,1.0,0.81,-78487.875,182487.875,bad deal
358,725000.0," 448 N Carpenter St #D, Chicago, IL 60642 ",2.0,2.0,1.5,542455.6,182544.375,bad deal
180,510000.0," 435 W Roscoe St, Chicago, IL 60657 ",3.0,1.0,1.0,298427.88,211572.125,bad deal
140,515000.0," 816 N Wood St #2N, Chicago, IL 60622 ",3.0,1.0,1.0,298427.88,216572.125,bad deal
468,260000.0," 10540 S Leavitt St, Chicago, IL 60643 ",2.0,1.0,1.25,40840.625,219159.375,bad deal
51,229900.0," 8411 S Dorchester Ave, Chicago, IL 60619 ",2.0,1.0,1.1,160.375,229739.625,bad deal
543,199900.0," 1542 N Rockwell St #G, Chicago, IL 60622 ",2.0,1.0,0.9,-54079.875,253979.875,bad deal
233,789000.0," 1741 N Kedzie Ave, Chicago, IL 60647 ",2.0,2.0,1.45,528895.6,260104.375,bad deal
471,249600.0," 21 W Goethe St APT 5F, Chicago, IL 60610 ",2.0,1.0,1.0,-26959.625,276559.625,bad deal
72,299000.0," 1924 N Lotus Ave, Chicago, IL 60639 ",2.0,1.0,1.0,-26959.625,325959.625,bad deal
555,249000.0," 867 W Cornelia Ave #2, Chicago, IL 60657 ",2.0,1.0,0.8,-81199.875,330199.875,bad deal
363,2500000.0," 65 E Bellevue Pl, Chicago, IL 60611 ",4.0,3.0,3.445,2154531.5,345468.5,bad deal
299,699900.0," 6709 N Bosworth Ave, Chicago, IL 60626 ",3.0,1.0,1.0,298427.88,401472.125,bad deal
159,1255000.0," 3044 N Clifton Ave, Chicago, IL 60657 ",2.0,2.0,1.5,542455.6,712544.375,bad deal
167,1549000.0," 4939 N Bell Ave, Chicago, IL 60625 ",3.0,2.0,1.335,823094.9,725905.125,bad deal
297,1244900.0," 420 E North Water St, Chicago, IL 60611 ",3.0,1.0,1.04,309276.0,935624.0,bad deal
400,4199999.0," 130 N Garland Ct APT 5702, Chicago, IL 60602 ",4.0,4.0,5.25,3077865.0,1122134.0,bad deal
440,6280000.0," 2902 N Burling St, Chicago, IL 60657 ",6.0,8.0,1.05,4324853.5,1955146.5,bad deal
383,4350000.0," 1928 N Cleveland Ave, Chicago, IL 60614 ",4.0,4.0,1.655,2102896.5,2247103.5,bad deal
288,2800000.0," 4845 S Ellis Ave, Chicago, IL 60615 ",2.0,2.0,1.196,460010.5,2339989.5,bad deal
510,7990000.0," 199 E Lake Shore Dr #10-11E, Chicago, IL 60611 ",4.0,7.0,9.672,5578560.0,2411440.0,bad deal
230,4500000.0," 5026 S Greenwood Ave, Chicago, IL 60615 ",3.0,4.0,2.5,2006673.9,2493326.125,bad deal
535,7999000.0," 1325 N Astor St #13, Chicago, IL 60610 ",6.0,6.0,7.9,5314952.5,2684047.5,bad deal
326,3975000.0," 1622 N Wolcott Ave, Chicago, IL 60622 ",3.0,2.0,1.335,823094.9,3151905.125,bad deal
2,7995000.0," 4130 N Greenview Ave, Chicago, IL 60613 ",7.0,8.0,1.1,4663801.5,3331198.5,bad deal
407,6200000.0," 451 E Grand Ave APT 6011, Chicago, IL 60611 ",3.0,4.0,4.798,2629894.0,3570106.0,bad deal
449,10500000.0," 1336 N State Pkwy, Chicago, IL 60610 ",5.0,9.0,9.0,6589330.0,3910670.0,bad deal
79,4500000.0," 520 N Armour St, Chicago, IL 60642 ",2.0,2.0,0.99,404143.12,4095856.875,bad deal
494,6750000.0," 2550 N Lakeview Ave UNIT S3802, Chicago, IL 60614 ",3.0,4.0,4.25,2481276.0,4268724.0,bad deal
369,6550000.0," 451 E Grand Ave #5909, Chicago, IL 60611 ",2.0,2.0,1.2,461095.38,6088904.625,bad deal
356,8000000.0," 159 E Walton St #33A, Chicago, IL 60611 ",4.0,2.0,1.908,1303881.1,6696118.875,bad deal
441,7875000.0," 1449 N Astor St, Chicago, IL 60610 ",6.0,1.0,0.1,1030509.6,6844490.375,bad deal
200,9900000.0," 159 E Walton Pl APT 31A, Chicago, IL 60611 ",3.0,3.0,1.248,1233315.1,8666684.875,bad deal
42,13500000.0," 840 N Lake Shore Dr APT 2601, Chicago, IL 60611 ",7.0,8.0,1.1,4663801.5,8836198.5,bad deal
0,17000000.0," 1500 N Lake Shore Dr, Chicago, IL 60610 ",6.0,7.0,8.0,5775887.5,11224112.5,bad deal
46,13500000.0," 15 W Burton Pl, Chicago, IL 60610 ",2.0,2.0,1.163,451060.88,13048939.125,bad deal
5,18750000.0," 3 W Burton Pl, Chicago, IL 60610 ",6.0,1.0,3.2,1871233.4,16878766.625,bad deal
