,prices,address,no_beds,baths,sqft,prediction,difference,deal
412,189900.0," 1756 N Kedzie Ave APT E, Chicago, IL 60647 ",4.0,3.0,2.6,1925366.6,-1735466.625,good deal
267,288800.0," 4427 N Merrimac Ave, Chicago, IL 60630 ",3.0,4.0,2.563,2023759.6,-1734959.625,good deal
310,299900.0," 9436 S Saint Lawrence Ave, Chicago, IL 60619 ",3.0,4.0,2.5,2006673.9,-1706773.875,good deal
67,467400.0," 1345 W Fillmore St APT 1, Chicago, IL 60607 ",4.0,3.0,3.4,2142327.5,-1674927.5,good deal
16,1499000.0," 4841 N Oakley Ave, Chicago, IL 60625 ",4.0,5.0,4.0,3172678.0,-1673678.0,good deal
182,135000.0," 5157 S Emerald Ave, Chicago, IL 60609 ",5.0,2.0,2.472,1782225.9,-1647225.875,good deal
347,390000.0," 1040 W Adams St UNIT 122, Chicago, IL 60607 ",3.0,4.0,2.563,2023759.6,-1633759.625,good deal
191,375000.0," 645 N Kingsbury St APT 1001, Chicago, IL 60654 ",3.0,4.0,2.5,2006673.9,-1631673.875,good deal
111,389900.0," 9323 S Laflin St, Chicago, IL 60620 ",3.0,4.0,2.5,2006673.9,-1616773.875,good deal
376,249900.0," 5 N Wabash Ave APT 1604, Chicago, IL 60602 ",4.0,3.0,2.365,1861634.4,-1611734.375,good deal
216,269900.0," 4447 N Malden St APT G, Chicago, IL 60640 ",4.0,3.0,2.365,1861634.4,-1591734.375,good deal
142,197000.0," 834 E 89th Pl, Chicago, IL 60619 ",5.0,2.0,2.472,1782225.9,-1585225.875,good deal
341,215000.0," 2300 W Granville Ave #3, Chicago, IL 60659 ",5.0,2.0,2.472,1782225.9,-1567225.875,good deal
296,299900.0," 330 W Diversey Pkwy APT 1404, Chicago, IL 60657 ",4.0,3.0,2.365,1861634.4,-1561734.375,good deal
36,599999.0," 5850 S Austin Ave, Chicago, IL 60638 ",3.0,4.0,3.03,2150410.5,-1550411.5,good deal
151,499900.0," 1945 W Evergreen Ave APT 1F, Chicago, IL 60622 ",3.0,4.0,2.5,2006673.9,-1506773.875,good deal
538,475000.0," 110 E Delaware Pl APT 1901, Chicago, IL 60611 ",3.0,4.0,2.4,1979553.6,-1504553.625,good deal
221,299900.0," 8 W Monroe St APT 1509, Chicago, IL 60603 ",5.0,2.0,2.472,1782225.9,-1482325.875,good deal
261,305000.0," 3255 N Greenview Ave APT 2R, Chicago, IL 60657 ",5.0,2.0,2.472,1782225.9,-1477225.875,good deal
97,389000.0," 11434 S Oakley Ave, Chicago, IL 60643 ",4.0,3.0,2.365,1861634.4,-1472634.375,good deal
477,374900.0," 5038 S Drexel Blvd UNIT 3S, Chicago, IL 60615 ",4.0,3.0,2.3,1844006.4,-1469106.375,good deal
320,17500.0," 2954 E 80th Pl, Chicago, IL 60617 ",3.0,3.0,2.1,1464378.6,-1446878.625,good deal
108,595000.0," 4152 W School St, Chicago, IL 60641 ",3.0,4.0,2.563,2023759.6,-1428759.625,good deal
43,17500.0," 4800 S Lake Park Ave #809, Chicago, IL 60615 ",5.0,2.0,1.2,1437258.1,-1419758.125,good deal
534,328900.0," 6233 W Berenice Ave, Chicago, IL 60634 ",4.0,3.0,1.909,1737966.6,-1409066.625,good deal
52,35000.0," 4836 S Calumet Ave, Chicago, IL 60615 ",3.0,3.0,1.909,1412579.1,-1377579.125,good deal
17,669000.0," 3424 W Wrightwood Ave, Chicago, IL 60647 ",6.0,2.0,2.2,2033847.1,-1364847.125,good deal
431,329900.0," 1719 N Melvina Ave, Chicago, IL 60639 ",5.0,2.0,2.043,1665880.6,-1335980.625,good deal
102,450000.0," 2705 W Farwell Ave, Chicago, IL 60645 ",5.0,2.0,2.472,1782225.9,-1332225.875,good deal
55,85000.0," 5534 S Marshfield Ave, Chicago, IL 60636 ",3.0,3.0,1.9,1410138.4,-1325138.375,good deal
148,699000.0," 3518 N Reta Ave APT 3, Chicago, IL 60657 ",3.0,4.0,2.563,2023759.6,-1324759.625,good deal
74,285000.0," 345 N Canal St APT 1306, Chicago, IL 60606 ",1.0,2.0,6.627,1607516.4,-1322516.375,good deal
528,225000.0," 4855 W Lexington St, Chicago, IL 60644 ",4.0,3.0,1.2,1545685.1,-1320685.125,good deal
301,474900.0," 2833 N Mozart St, Chicago, IL 60618 ",5.0,2.0,2.472,1782225.9,-1307325.875,good deal
78,169000.0," 9132 S Woodlawn Ave, Chicago, IL 60619 ",3.0,3.0,2.1,1464378.6,-1295378.625,good deal
506,499999.0," 4036 N Central Park Ave, Chicago, IL 60618 ",4.0,3.0,2.0,1762646.1,-1262647.125,good deal
387,769000.0," 450 W Oak St, Chicago, IL 60610 ",3.0,4.0,2.563,2023759.6,-1254759.625,good deal
