prices,address,no_beds,baths,sqft
245000.0," 2139 W Gladys Ave #1, Chicago, IL 60612 ",3.0,2.0,2000.0
459000.0," 832 W Barry Ave #2, Chicago, IL 60657 ",2.0,2.0,1100.0
299000.0," 1924 N Lotus Ave, Chicago, IL 60639 ",2.0,1.0,1000.0
45000.0," 4800 S Lake Park Ave #902A, Chicago, IL 60615 ",3.0,2.0,1900.0
285000.0," 345 N Canal St APT 1306, Chicago, IL 60606 ",1.0,2.0,6627.0
274000.0," 860 N Lake Shore Dr #4M, Chicago, IL 60611 ",3.0,2.0,1500.0
249000.0," 5200 S Green St, Chicago, IL 60609 ",3.0,4.0,3030.0
75000.0," 8134 S Essex Ave APT 2-S, Chicago, IL 60617 ",4.0,4.0,4500.0
169000.0," 9132 S Woodlawn Ave, Chicago, IL 60619 ",3.0,3.0,2100.0
4500000.0," 520 N Armour St, Chicago, IL 60642 ",2.0,2.0,990.0
234900.0," 5140 S California Ave, Chicago, IL 60632 ",3.0,3.0,1248.0
374500.0," 3300 N Lake Shore Dr APT 4E, Chicago, IL 60657 ",3.0,3.0,2100.0
364900.0," 1645 W Ogden Ave UNIT 608, Chicago, IL 60612 ",2.0,2.0,
234900.0," 400 E 89th St, Chicago, IL 60619 ",3.0,2.0,1040.0
350000.0," 7609 S Clyde Ave, Chicago, IL 60649 ",4.0,3.0,3445.0
414000.0," 2862 N Woodard St, Chicago, IL 60618 ",3.0,3.0,
217500.0," 9340 S Eggleston Ave, Chicago, IL 60620 ",3.0,2.0,2300.0
210000.0," 5410 W Waveland Ave, Chicago, IL 60641 ",3.0,2.0,1335.0
339900.0," 2911 N Merrimac Ave, Chicago, IL 60634 ",3.0,2.0,2277.0
420000.0," 511 W Division St APT 406, Chicago, IL 60610 ",2.0,2.0,1196.0
375000.0," 2840 N Damen Ave #2, Chicago, IL 60618 ",2.0,2.0,1200.0
250000.0," 6128 S Natchez Ave, Chicago, IL 60638 ",2.0,2.0,
345000.0," 1226 W Huron St APT 102, Chicago, IL 60642 ",3.0,3.0,1300.0
349000.0," 200 N Jefferson St APT 601, Chicago, IL 60661 ",1.0,,
374900.0," 3627 W Lexington St, Chicago, IL 60624 ",9.0,8.0,
399000.0," 1111 S Wabash Ave APT 2309, Chicago, IL 60605 ",2.0,2.0,1438.0
215000.0," 9136 S Michigan Ave, Chicago, IL 60619 ",3.0,2.0,1241.0
389000.0," 11434 S Oakley Ave, Chicago, IL 60643 ",4.0,3.0,2365.0
55000.0," 8847 S Prairie Ave, Chicago, IL 60619 ",3.0,1.0,1040.0
239000.0," 13455 S Green Bay Ave, Chicago, IL 60633 ",4.0,1.0,1296.0
179000.0," 8362 S Keating Ave, Chicago, IL 60652 ",3.0,1.0,1000.0
30000.0," 4280 W Ford City Dr #203, Chicago, IL 60652 ",2.0,2.0,1000.0
450000.0," 2705 W Farwell Ave, Chicago, IL 60645 ",5.0,2.0,2472.0
214900.0," 222 N Columbus Dr APT 407, Chicago, IL 60601 ",1.0,,
324900.0," 837 E 87th St, Chicago, IL 60619 ",4.0,4.0,1655.0
499999.0," 1442 N Kedzie Ave, Chicago, IL 60651 ",8.0,3.0,
129900.0," 1456 N Washtenaw Ave #2, Chicago, IL 60622 ",2.0,1.0,
245000.0," 9852 S Forest Ave, Chicago, IL 60628 ",3.0,2.0,1135.0
595000.0," 4152 W School St, Chicago, IL 60641 ",3.0,4.0,2563.0
219950.0," 2740 N Pine Grove Ave APT 18E, Chicago, IL 60614 ",1.0,,
950000.0," 4730 S Greenwood Ave, Chicago, IL 60615 ",6.0,5.0,3700.0
389900.0," 9323 S Laflin St, Chicago, IL 60620 ",3.0,4.0,2500.0
200000.0," 20 N State St APT 405, Chicago, IL 60602 ",1.0,,
124999.0," 707 W Waveland Ave #1605, Chicago, IL 60613 ",,,
319000.0," 4250 N Marine Dr APT 2416, Chicago, IL 60613 ",2.0,2.0,1450.0
400000.0," 3260 N Clark St APT 208, Chicago, IL 60657 ",2.0,2.0,
150000.0," 4109 S Prairie Ave #GN, Chicago, IL 60653 ",2.0,2.0,1000.0
510000.0," 1523 W Granville Ave, Chicago, IL 60660 ",4.0,2.0,1908.0
500000.0," 5826 N Magnolia Ave, Chicago, IL 60660 ",4.0,3.0,
389000.0," 2440 N Lakeview Ave #7D, Chicago, IL 60614 ",2.0,2.0,1500.0
295000.0," 4424 N Monticello Ave, Chicago, IL 60625 ",3.0,3.0,1248.0
575000.0," 4706 N Malden St, Chicago, IL 60640 ",3.0,3.0,2100.0
800.0," 347 W 101st Pl, Chicago, IL 60628 ",2.0,2.0,
149900.0," 880 N Lake Shore Dr APT 5G, Chicago, IL 60611 ",3.0,2.0,1040.0
389900.0," 3758 N Plainfield Ave, Chicago, IL 60634 ",4.0,3.0,3445.0
294900.0," 1423 N Ashland Ave APT 201, Chicago, IL 60622 ",3.0,3.0,
409000.0," 78 E Elm St APT 1, Chicago, IL 60611 ",3.0,2.0,2300.0
318000.0," 5915 W Dakin St, Chicago, IL 60634 ",3.0,2.0,1335.0
675000.0," 2827 N Lakewood Ave #1, Chicago, IL 60657 ",3.0,2.0,2277.0
415000.0," 4172 W Eddy St, Chicago, IL 60641 ",2.0,2.0,1196.0
300000.0," 222 E Pearson St APT 2109, Chicago, IL 60611 ",2.0,2.0,1200.0
155000.0," 2507 N New England Ave, Chicago, IL 60707 ",2.0,2.0,
80000.0," 6042 S Throop St, Chicago, IL 60636 ",3.0,3.0,1300.0
489000.0," 4101 N Laramie Ave, Chicago, IL 60641 ",1.0,,
80000.0," 1125 N Harding Ave, Chicago, IL 60651 ",9.0,8.0,
450000.0," 708 W Barry Ave APT 1F, Chicago, IL 60657 ",2.0,2.0,1438.0
324500.0," 1000 N Lake Shore Dr APT 509, Chicago, IL 60611 ",3.0,2.0,1241.0
125000.0," 8059 S Kenwood Ave, Chicago, IL 60619 ",4.0,3.0,2365.0
284900.0," 2728 W Cortez St #1, Chicago, IL 60622 ",3.0,1.0,1040.0
159900.0," 9514 S University Ave, Chicago, IL 60628 ",4.0,1.0,1296.0
515000.0," 816 N Wood St #2N, Chicago, IL 60622 ",3.0,1.0,1000.0
339000.0," 3300 W 114th St, Chicago, IL 60655 ",2.0,2.0,1000.0
197000.0," 834 E 89th Pl, Chicago, IL 60619 ",5.0,2.0,2472.0
199900.0," 6148 S Moody Ave, Chicago, IL 60638 ",1.0,,
339900.0," 5063 W Jackson Blvd, Chicago, IL 60644 ",4.0,4.0,1655.0
515000.0," 3618 N Fremont St #3, Chicago, IL 60613 ",8.0,3.0,
879000.0," 3329 W Eastwood Ave, Chicago, IL 60625 ",2.0,1.0,
299500.0," 5490 S South Shore Dr #10N, Chicago, IL 60615 ",3.0,2.0,1135.0
699000.0," 3518 N Reta Ave APT 3, Chicago, IL 60657 ",3.0,4.0,2563.0
319000.0," 2224 W Touhy Ave APT 4E, Chicago, IL 60645 ",1.0,,
320000.0," 3133 W Palmer Blvd APT 3, Chicago, IL 60647 ",6.0,5.0,3700.0
499900.0," 1945 W Evergreen Ave APT 1F, Chicago, IL 60622 ",3.0,4.0,2500.0
260000.0," 4056 N Sacramento Ave APT 1, Chicago, IL 60618 ",1.0,,
399000.0," 1062 W North Shore Ave APT 1E, Chicago, IL 60626 ",,,
29000.0," 4850 S Lake Park Ave APT 2406, Chicago, IL 60615 ",2.0,2.0,1450.0
208125.0," 8212 S Kenwood Ave, Chicago, IL 60619 ",2.0,2.0,
260000.0," 8 W Monroe St APT 1609, Chicago, IL 60603 ",2.0,2.0,1000.0
169900.0," 6260 S Newland Ave #11N, Chicago, IL 60638 ",4.0,2.0,1908.0
269900.0," 10744 S Wood St, Chicago, IL 60643 ",4.0,3.0,
1255000.0," 3044 N Clifton Ave, Chicago, IL 60657 ",2.0,2.0,1500.0
89900.0," 4845 S Prairie Ave #G, Chicago, IL 60615 ",3.0,3.0,1248.0
349000.0," 5552 N Marmora Ave, Chicago, IL 60630 ",3.0,3.0,2100.0
195000.0," 124 W Polk St APT 107, Chicago, IL 60605 ",2.0,2.0,
239900.0," 4750 N Elston Ave APT 203, Chicago, IL 60630 ",3.0,2.0,1040.0
140000.0," 6166 N Sheridan Rd APT 4E, Chicago, IL 60660 ",4.0,3.0,3445.0
99900.0," 8454 S Muskegon Ave, Chicago, IL 60617 ",3.0,3.0,
290000.0," 8524 S Aberdeen St, Chicago, IL 60620 ",3.0,2.0,2300.0
1549000.0," 4939 N Bell Ave, Chicago, IL 60625 ",3.0,2.0,1335.0
209000.0," 607 E 91st Pl, Chicago, IL 60619 ",3.0,2.0,2277.0
375000.0," 1735 N Paulina St APT 515, Chicago, IL 60622 ",2.0,2.0,1196.0
199900.0," 9705 S Carpenter St, Chicago, IL 60643 ",2.0,2.0,1200.0
360000.0," 7631 N Eastlake Ter APT 1A, Chicago, IL 60626 ",2.0,2.0,
286500.0," 4531 S Ellis Ave #2, Chicago, IL 60653 ",3.0,3.0,1300.0
349000.0," 5761 N Oriole Ave, Chicago, IL 60631 ",1.0,,
425000.0," 1409 W Huron St #2, Chicago, IL 60642 ",9.0,8.0,
300000.0," 6111 W Lawrence Ave, Chicago, IL 60630 ",2.0,2.0,1438.0
217000.0," 2809 W Ainslie St #3E, Chicago, IL 60625 ",3.0,2.0,1241.0
30000.0," 4800 S Lake Park Ave APT 1304, Chicago, IL 60615 ",4.0,3.0,2365.0
187000.0," 400 W Ontario St APT 508B, Chicago, IL 60654 ",3.0,1.0,1040.0
35000.0," 38 W 112th Pl, Chicago, IL 60628 ",4.0,1.0,1296.0
510000.0," 435 W Roscoe St, Chicago, IL 60657 ",3.0,1.0,1000.0
189900.0," 4203 S Prairie Ave #1, Chicago, IL 60653 ",2.0,2.0,1000.0
135000.0," 5157 S Emerald Ave, Chicago, IL 60609 ",5.0,2.0,2472.0
318000.0," 535 N Michigan Ave APT 1201, Chicago, IL 60611 ",1.0,,
319900.0," 7637 W Ardmore Ave, Chicago, IL 60631 ",4.0,4.0,1655.0
699000.0," 3926 N Ridgeway Ave, Chicago, IL 60618 ",8.0,3.0,
176500.0," 7141 N Kedzie Ave APT 704, Chicago, IL 60645 ",2.0,1.0,
220000.0," 5801 N Sheridan Rd APT 6B, Chicago, IL 60660 ",3.0,2.0,1135.0
899000.0," 5519 S Natoma Ave, Chicago, IL 60638 ",3.0,4.0,2563.0
759900.0," 942 N Wolcott Ave #3, Chicago, IL 60622 ",1.0,,
